CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,
Waukegan,Grand Ave,,IL,US,2020-07-06,about 60,60,,60,,,general protesters,"justice for murdered soldier Vanessa Guillen, in support of a zero tolerance policy on sexual assault in the military",0,protest,,,,,1,1,https://www.chicagotribune.com/suburbs/lake-county-news-sun/ct-lns-vanessa-guillen-vigil-st-0708-20200707-yhcm2jhtu5btldt7d5wvn2lr2i-story.html,,,,
Athens,College Sqaure,,GA,US,2020-07-07,,,,,,,general protesters,Anti-discrimination movement,0,protest,,,,,1,1,https://www.onlineathens.com/photogallery/GA/20200708/PHOTOGALLERY/708009999/PH/1,,,,
Andersan,,,SC,US,2020-07-07,about 40,40,,40,,,black business owners,"against racism, against police violence",0,nationwide one-day economic protest,,,,,1,1,https://www.heraldbulletin.com/news/black-residents-participate-in-national-economic-protest/article_ebfbeed6-c073-11ea-8820-1b7e414328df.html,,,,
Broadway,Heritage Park,,VA,US,2020-07-07,some,,,,,,general protesters,against Black Lives Matter protest,0,counter-protest,,,,,1,1,https://www.whsv.com/2020/07/07/youth-led-black-lives-matter-protest-draws-crowds-to-heritage-park/,,,"youth-led, students and alumni",
Athens,downtown athens,,GA,US,2020-07-07,around 100,100,,100,,,Athens Anti-discrimintaion Movement ,demand the removal of confederate monument and demand equality,0,protest,,,,,1,1,https://www.redandblack.com/athensnews/aadm-protest-highlights-replacement-of-confederate-monument-and-list-of-demands-for-athens-law-enforcement/article_78ebc2d0-c0ce-11ea-88f0-03c4b92ba990.html,,,,
Durham,Outside the home of Durham Mayor Steve Schewel,,NC,US,2020-07-07,20,20,,20,,,general protesters,"for equitable distribution of small-business relief, building a community garden and the creation of a crisis reposne team",0,protest,,,,,1,1,https://www.heraldsun.com/news/local/article244073187.html,,,,
Effingham City ,,,IL,US,2020-07-07,,,,,,,local residents,Back the Blue rally; honoring police department,0,protest,,,,,1,1,https://www.effinghamdailynews.com/news/local_news/effingham-hears-request-for-back-the-blue-rally/article_e1b03300-c13c-11ea-b0a0-2fac4063f401.html,,,,
Flushing,,,MI,US,2020-07-07,around 300,300,,300,,,general protesters,BLM,0,protest,,,,,1,1,https://www.mlive.com/news/flint/2020/07/hundreds-of-black-lives-matter-protesters-march-peacefully-through-flushing.html,,,,
Hempstead,,,TX,US,2020-07-07,dozen,12,,12,,,general protesters,demand an investigation into the apperance of a missing soldier,0,protest,,,,,1,1,https://www.mlive.com/news/flint/2020/07/hundreds-of-black-lives-matter-protesters-march-peacefully-through-flushing.html,,,,
Jackson Heights,,,NY,US,2020-07-07,more than 50,50,,50,,,general protesters,prevent renters impacted by Covid from getting displaced,0,protest,,,,,1,1,https://qns.com/story/2020/07/08/calls-to-cancel-rent-becomes-plea-to-prevent-mass-evictions-at-jackson-heights-protest/,,,,
Laredo,federal courthouse,,TX,US,2020-07-07,,,,,,,coalition of anti-border wall activists,against construction of border wall and unequal treatment of Latino community,1,protest; car caravan,,,,,1,1,https://www.wkrg.com/news/laredo-protest-falls-on-heels-of-lawsuit-that-calls-border-wall-a-product-of-racism/,,,,
Linwood,Linwood City Hall,,CA,US,2020-07-07,more than a 100,100,,100,,,Blm and rememebering George Floyd,,0,protest,,,,,1,1,https://www.heraldnet.com/news/a-march-to-lynnwood-city-hall-and-call-for-racial-justice/,,,,
Locust Grove,,Orange,VA,US,2020-07-07,count pic,10,,10,,,general protesters,support for Locust Grove Middle School teacher and track coach Larry Kilby whose contract was not renewed,0,rally,,,,,1,1,https://dailyprogress.com/orangenews/news/students-parents-and-teachers-rally-around-larry-kilby-former-teacher-and-ochs-track-coach/article_0e750e20-bf02-11ea-9c90-3b5ca55541c8.html,,,,
Mount Clemens,Macomb County Democratic Headquarters,Macomb,MI,US,2020-07-07,,,,,,,Call 'Em Out Coalition,against a Democratic candidate for county commission and a club he associates with,0,protest,,,,,1,1,https://www.macombdaily.com/news/elections/rideout-and-small-group-protest-macomb-democratic-party-chairman/article_6571959a-c06a-11ea-b53f-cffb5a374347.html,,,,
Milton,Milton High School,,VT,US,2020-07-07,dozens,24,,24,,,Students and Faculty,protest the vandalism and theft of black lives matter flag at the school,0,protest,,,,,1,1,https://www.mychamplainvalley.com/news/local-news/milton-students-protest-the-vandalism-and-theft-of-a-black-lives-matter-flag-from-school-grounds/,,,,
Milton,Hannaford Plaza,Chittenden,VT,US,2020-07-07,,,,,,,general protestors,against hate; against vandalism of BLM murals,0,rally,,,,,1,1,https://www.wcax.com/content/news/State-police-investigate-potential-racial-bias-after-scuffed-up-BLM-messages-571655551.html,,,,
Minerva,Municiple Park,,OH,US,2020-07-07,about 40,40,,40,,,general protesters,BLM,0,protest,,,,,1,1,https://www.the-review.com/story/news/2020/07/07/minerva-protesters-met-by-angry-residents/42084465/,,,,
Neosho,City Council,,MO,US,2020-07-07,,,,,,,general protesters,against the exclusion of churches from COVID gathering  restriction,0,protest,,,,,1,1,https://www.neoshodailynews.com/news/20200708/citizens-turn-out-to-protest-ordinance,,,,
Newton,City Hall,,MA,US,2020-07-07,about 50,50,,50,,,general protestors,"against racism, against police violence",0,protest,,,,,1,1,https://www.boston.com/news/local-news/2020/07/08/newton-protest-incident,,,,
Northridge,California State University of Northridge,,CA,US,2020-07-07,,,,,,,Mecha de CSUN,"remembering murdered soldier Vanessa Guillen, against sexual violence, against discrimination against Latinas",0,march,,,,,1,1,https://abc7.com/community-events/csun-students-hold-peaceful-march-in-honor-of-vanessa-guillen/6305065/,,,,
Orlando,Orange County Public Schools headquarters,Orange,FL,US,2020-07-07,dozens,24,,24,,,teachers,against state mandate to open public schools during coronavirus pandemic,0,car caravan,,,,,1,1,https://www.orlandosentinel.com/news/education/os-ne-orange-schools-reopening-discussion-protest-20200707-dwak2zcsgvdazonhwtxe3s3jti-story.html,https://www.orlandosentinel.com/news/education/os-pictures-orange-seminole-teachers-protest-back-to-school-coronavirus-20200707-wv66zk2sbjg7jekitdljhwxnli-photogallery.html,,,
Pittsburgh,outside the delta foundation office,,PA,US,2020-07-07,,,,,,,general protesters,demand delta to be more inclusive,0,protest,,,,,1,1,https://www.pghcitypaper.com/pittsburgh/delta-foundation-interim-president-apologizes-for-lgbtq-organizations-past-failures-as-protesters-demand-change/Content?oid=17608934,,,,
Portland,sunnyside school park on southeast 34th Ave. and marched to southeast Hawathorne Blvd.,,OR,US,2020-07-07,dozens,,,,,,general protesters,"against racism, against police violence",0,protest,,,,,1,1,https://www.kgw.com/article/news/local/security-volunteers-watch-over-black-lives-matter-protest-for-kids/283-29d10ee7-6ed5-4076-bfe9-7a97e5a33049,,,,
Paradise Valley,,,AZ,US,2020-07-07,about 40,40,,40,,,general protesters,against police brutality  ,0,protest,,,,,1,1,https://www.12news.com/article/news/crime/tense-moments-erupt-as-protesters-march-in-paradise-valley/75-ace5f9ec-0d6d-4b09-a76e-e990664cbbf1,,,,
Rochester,Downtown,,NY,US,2020-07-07,,,,,,,the State of New York,prosecution for lawless conduct and wanton destruction during the May 30th BLM protests,0,prosecution charges,4,,,,1,1,https://www.lohud.com/story/news/2020/07/07/feds-adding-charges-post-black-lives-matter-protest-arson-rochester-ny/5392956002/,,,,
New York,Diversity Plaza; Queens,,NY,US,2020-07-07,count pic,25,,25,,,general protesters,for better protective measures against COVID-19 for essential workers,0,protest,,,,,1,1,https://qns.com/story/2020/07/07/essential-workers-call-for-workplace-protections-against-covid-19-at-jackson-heights-rally/,,,,
San Anselmo,Sir Francis Drake HS,,CA,US,2020-07-07,more than 50,50,,50,,,general protestors,change high school name ,1,caravan; protest,,,,,1,1,https://www.instagram.com/p/CCViuGDBWZy/,,,,
San Francisco,Bayview,,CA,US,2020-07-07,hundreds,200,,200,,,general protesters,call for help identifying suspect in killing of a local 6-year-old on July 4th,0,candlelight vigil,,,,,1,1,https://www.sfchronicle.com/crime/article/Justice-for-Jace-Family-SF-mayor-police-15392519.php,,,,
Philadelphia,South Philly,,PA,US,2020-07-07,75,75,,75,,,general protesters,"against racism, against police violence",0,protest,,,,,1,1,https://www.phillytrib.com/news/local_news/it-s-not-normal-after-violent-fourth-of-july-weekend-south-philly-residents-march-for/article_4d5a5800-d893-5db2-ae16-ccc378e3091f.html,,,,
Smithtown,Kings Park LIRR station,Suffolk,NY,US,2020-07-07,,,,,,,general protesters,"All Lives Matter, against anti-racism protest",0,counter-protest,,,,,0,1,https://www.newsday.com/long-island/suffolk/black-lives-matter-protest-kings-park-1.46503344,,,,
Beverly Hills,,,CA,US,2020-07-08,,,,,,,hospitality workers,for better workplace protections for hospitality workers during COVID-19 pandemic,0,protest,,,,,1,1,https://www.pasadenastarnews.com/2020/07/08/workers-protest-hotel-reopenings-amid-covid-19-flareups/,,,,
Charleston,,,SC,US,2020-07-08,,,,,,,,,,,,,,,,,https://www.live5news.com/2020/07/08/police-chief-tells-people-who-plan-protest-downtown-sunday-leave-their-weapons-home/,,,,
Chicago,Philippine Consulate,,IL,US,2020-07-08,more than 80,80,,80,,,general protesters,against repressive 'anti-terroirism' measure signed into law by President Duterete,0,protest,0,0,0,0,1,1,http://www.fightbacknews.org/2020/7/10/chicago-protest-against-duterte-s-terror-law-0,,,,
Jersey City,the ethical community cahrter school,,NJ,US,2020-07-08,,,,,,,students,agaisnt the firing of Jersey City charter public school principle,0,protest,,,,,1,1,https://www.nj.com/hudson/2020/07/second-protest-planned-today-against-firing-of-popular-jersey-city-charter-school-principal.html,,,,
Los Angeles,,,CA,US,2020-07-08,,,,,,,hospitality workers,for better workplace protections for hospitality workers during COVID-19 pandemic,0,protest,,,,,1,1,https://www.pasadenastarnews.com/2020/07/08/workers-protest-hotel-reopenings-amid-covid-19-flareups/,,,,
Los Angeles,Hollywood,,CA,US,2020-07-08,,,,,,,hospitality workers,for better workplace protections for hospitality workers during COVID-19 pandemic,0,protest,,,,,0,1,https://www.pasadenastarnews.com/2020/07/08/workers-protest-hotel-reopenings-amid-covid-19-flareups/,,,,
Marshall,Outside Harrison County Courthouse,Harrison,TX,US,2020-07-08,,,,,,,Save Our Soldier,for confederate statue,0,protest,,,,,1,1,https://www.news-journal.com/save-our-soldier-protesters-gather-near-confederate-statue/collection_c95b2a0d-c0ed-5c39-95ff-e212f6cbf64b.html#2,,,,
Milwaukee,Spaights Plaza on UW campus,,WI,US,2020-07-08,around 200,200,,200,,,students,to honor Vanessa Guillen and others who have lost their lives to sexual violence; to hold the university accountable for not taking action,0,rally,0,0,0,0,1,1,http://www.fightbacknews.org/2020/7/10/milwaukee-students-honor-vanessa-guill-n-protest-uwm-professor-schoeller-and-administratio,,,,
Moorhead,Moorhead Center Mall to Veterna Memorial Bridge,,MN,US,2020-07-08,,,,,,,general protesters,to remember Vaneessa Guillen,0,vigil,,,,,1,1,https://www.inforum.com/news/6566382-Vigil-walk-for-slain-soldier-Vanessa-Guillen-planned-tonight-in-F-M,,,,
Westchester,New Mochelle and Mount Vernon,,NY,US,2020-07-08,,,,,,,Nurses,rally against closing of hospitals,0,rally,,,,,0,1,http://westchester.news12.com/we-need-mount-vernon-hospital-nurses-rally-over-cuts-42347575,,,,
New York,Brooklyn; Flatbush,Kings,NY,US,2020-07-08,,,,,,,Equality for Flatbush,against tenant eviction,0,eviction blockade,,,,,1,1,https://twitter.com/protest_nyc/status/1281040759161065473,,,,
Oakland,East Oakland Pride Elementary,,CA,US,2020-07-08,,,,,,,general protesters,oppose schools reopening due to Covid,1,car caravan,,,,,1,1,https://www.instagram.com/p/CCUP9X7BRED/,,,,
Pasadena,,,CA,US,2020-07-08,,,,,,,hospitality workers,for better workplace protections during COVID-19 pandemic,0,protest,,,,,1,1,https://www.pasadenastarnews.com/2020/07/08/workers-protest-hotel-reopenings-amid-covid-19-flareups/,,,,
Phoenix,outside the state capital ,,AZ,US,2020-07-08,,,,,,,general protesters,against Arizona's low unemplyment benefits,0,protest,,,,,1,1,https://www.azfamily.com/news/laid-off-workers-protest-arizonas-low-unemployment-benefits/article_242d332c-c15b-11ea-b3a4-4f510734f374.html,,,,
Saint Louis,City Hall,,MO,US,2020-07-08,about 150,150,,150,,,general protesters,agaisnt forced evictions during the pandemic,0,protest,,,,,1,1,https://www.stltoday.com/news/local/crime-and-courts/woman-whose-name-and-address-were-read-by-mayor-leads-protest-in-front-of-city/article_22350efa-2f43-5db1-b5cc-e63688d91087.html,,,,
Salt Lake City,downtown,,UT,US,2020-07-08,more than 150,150,,150,,,general protesters,against police violence,0,rally,,,,,1,1,https://www.sltrib.com/news/2020/07/08/more-than-protesters/,,,,
Santa Monica,,,CA,US,2020-07-08,,,,,,,hospitality workers,for better workplace protections for hospitality workers during COVID-19 pandemic,0,protest,,,,,1,1,https://www.pasadenastarnews.com/2020/07/08/workers-protest-hotel-reopenings-amid-covid-19-flareups/,,,,
Springfield ,,,OR,US,2020-07-08,,,,,,,general proterters,BLM,0,protest,,,,,1,1,https://www.registerguard.com/story/news/2020/07/08/black-unity-headed-to-springfield-for-another-night-of-protest/112685722/,,,,
Tallahassee,Outside the city hall ,,FL,US,2020-07-08,,,,,,,general protesters,"against racism, against police violence",0,protest,,,,,1,1,https://www.wctv.tv/2020/07/08/tallahassee-protesters-outside-city-hall-demand-police-reform/,,,,
Trenton,,,NJ,US,2020-07-08,,,,,,,general proterters,Taking down the statue of george washington,0,protest,,,,,1,1,https://www.trentonian.com/news/trenton-says-bye-bye-to-columbus-statue-as-protesters-square-off-about-explorers-brutal-past/article_784dd946-c12b-11ea-b102-43443c50fae5.html,,,,
Tulsa,BOK Center arena,,OK,US,2020-07-08,"6,200","6,200",,"6,200",,,Donald J. Trump for President,pro-Trump,2,rally,,,,,1,1,https://www.dailykos.com/stories/2020/7/8/1959236/-Tulsa-sees-nearly-500-new-infections-after-Trump-s-rally-Houston-nixes-in-person-GOP-convention,https://abc13.com/health/trump-tulsa-rally-likely-contributed-to-covid-19-surge-official-says/6307561/,https://www.ksdk.com/article/news/health/coronavirus/trump-tulsa-rally-covid-surge/507-103b4d9c-8f45-4386-9b38-40a38249509d,,
Winston-Salem,Church Street in front of the Sheriff's Office,,NC,US,2020-07-08,about 40 ,40,,40,,,general protesters,BLM,0,protest,4,,,,1,1,https://journalnow.com/news/local/four-protesters-arrested-as-black-lives-matter-stages-rally-to-demand-more-information-about-john/article_b0eee0a4-bf9b-5550-b94f-5846c98764a6.html,,,,
Appleton,Downtown Appleton,,WI,US,2020-07-08,,,,,,,general protesters,against gerrymandering in Wisconsin ,0,protest,,,,,1,1,https://www.postcrescent.com/story/news/2020/07/08/wisconsin-gerrymandering-fair-maps-protest-planned-appleton/5398874002/,,,,
El Centro,Outside of the County Child Protective Services building,,CA,US,2020-07-09,,,,,,,general protesters,against child abuse,0,protest,0,0,0,0,1,1,https://www.ivpressonline.com/featured/peaceful-protest-against-child-abuse/article_22bf124a-c254-11ea-80b5-7b80f2d23663.html,,,,
Fayetteville,In front of Cumberland County Courthouse,,NC,US,2020-07-09,,,,,,,general protester,support for Police Department and Sheriff's Office,0,protest,,,,,1,1,https://abc11.com/society/hundreds-march-for-local-law-enforcement-in-fayetteville/6310040/,,,,
Fayetteville,In front of Fayetteville Police Department Headquarters ,,NC,US,2020-07-09,,,,,,,general protester,support of social justice,0,counter-protest,,,,,0,1,https://abc11.com/society/hundreds-march-for-local-law-enforcement-in-fayetteville/6310040/,,,,
Grass Valley,Sierra College Drive roundabout,,CA,US,2020-07-09,about a dozen,12,,12,,,general protesters,against the mask mandate for children,0,protest,0,0,0,0,1,1,https://www.theunion.com/news/no-mask-protesters-gather-on-sierra-college-drive/,,,,
Lafayette,,,LA,US,2020-07-09,2,2,,2,,,A lafayette,Equity for anti-discrimination movement,0,protest,,,,,1,1,https://www.dailycamera.com/2020/07/08/lafayette-residents-plan-peaceful-protest-vigil-for-thursday-night/,,,,
New York,Brooklyn; entrance of Bedford-Stuyvesant Hospital,Kings ,NY,US,2020-07-09,more than 100,100,,100,,,general protester,call attention to black woman who died while giving birth; health care,0,protest,0,0,0,0,1,1,https://www.amny.com/brooklyn/protesters-rally-at-brooklyn-hospital-after-black-woman-dies-during-childbirth/,,,,
Oakland,Plaza de la Fuente on International Blvd.,,CA,US,2020-07-09,,,,,,,general protestors,pro immigration rights; anti-Trump,1,protest,,,,,1,1,https://www.instagram.com/p/CCVi-ljhs31/,,,,
Philadelphia,Police Lodge 5,,PA,US,2020-07-09,10,10,,10,,,Proud Boys,against BLM and pro 'All Lives Matter',2,protest,0,0,0,0,1,1,https://www.dailykos.com/stories/2020/7/10/1959772/-Proud-Boys-show-up-to-support-Pence-Philly-police-while-harassing-protesters,,,,
Poughkeepsie,outside the Dutchess Office Building on Market St.,,NY,US,2020-07-09,about 200,200,,200,,,general protesters,against the building of a new jail,0,protest,,,,,1,1,https://www.poughkeepsiejournal.com/story/news/local/2020/07/08/dutchess-jail-bonds-community-protest/3286179001/,,,,
Santa Barbara,Sheriff's Office Headquarters,,CA,US,2020-07-09,,,,,,,group of law enforcement supporters,support for Police,0,rally,,,,,1,1,https://newspress.com/pro-law-enforcement-rally-at-sheriffs-office-headquarters/,,,,
St. George,,,UT,US,2020-07-09,,,,,,,general protesters,"support of name ""Dixie""",0,protest,,,,,1,1,https://www.stgeorgeutah.com/news/archive/2020/07/09/rmw-at-protest-in-support-of-preserving-dixie-crowd-jeers-mayors-speech/#.X4T0Mi2ZOT8,,,,
Wall Township,,,NJ,US,2020-07-09,300 to 400,300,,400,,,general protesters,"We back blue, pro-police",0,protest,,,,,1,1,https://www.app.com/story/news/2020/07/09/we-back-blue-hundreds-police-supporters-rally-wall-its-peace-and-love/5407623002/,,,,
Windsor,Windsor high school,,CA,US,2020-07-09,a handful,,,,,,general protesters,to prevent a construction project from moving forward with concerns about sustainability,0,protest,0,0,0,0,1,1,http://www.sonomawest.com/the_windsor_times/news/student-protesters-stop-construction-on-whs-project/article_f6b741aa-c243-11ea-b724-3fad20a57ea0.html,,,,
Antioch,Police Department,,CA,US,2020-07-10,,,,,,,general protestors,commemorate victims of police violence,1,protest,,,,,1,1,https://sf.funcheap.com/police-violence-victims-candlelight-vigil/,,,,
Chicago,streets of downtown,,IL,US,2020-07-10,,,,,,,general protesters,against ICE,1,protest,0,0,0,0,1,1,https://www.nbcchicago.com/news/local/watch-live-hundreds-take-part-in-ice-protest-doctors-in-chicago/2303253/,,,,
Columbia,SC state house,,SC,US,2020-07-10,,,,,,,general proterters,the fifth year anniversary of the removal of the confederate flag,0,protest,,,,,1,1,https://www.thestate.com/news/politics-government/article244078052.html,,,,
Clinton,near the Fish Market of Maryland,Prince George's,MD,US,2020-07-10,dozens,24,,24,,,We the People of PG County,against owner's racist statement,0,protest,0,0,0,0,1,1,https://www.washingtonpost.com/local/md-politics/fish-market-maryland-i-cant-breathe/2020/07/09/c25b7c42-c062-11ea-9fdd-b7ac6b051dc8_story.html,https://www.facebook.com/pg/wtpopgc/about/?ref=page_internal,,daily protests,
Dyersburg,courthouse,,TN,US,2020-07-10,about 20,20,,20,,,general protesters,for Confederate monument,0,counter-protest,,,,,1,1,https://www.jacksonsun.com/story/news/local/2020/07/13/protesters-want-dismantle-racism-counter-protesters-protect-statue/5397806002/,,,,
Greeley,JBS Swift meatpacking plant,,CO,US,2020-07-10,,,,,,,general protesters,for higher pay for plant workers,0,walkout,,,,,1,1,https://www.greeleytribune.com/2020/07/10/jbs-employees-walk-off-the-job-over-pay-dispute/?fbclid=IwAR1eGevqxviEzxuHOOC4gwWnRUU6iqFYWzrDo-KUhYFwnBlxwCVn3Ui9qOs,,,article specifically notes that the workers' union did not organize and was not aware of the action,
Half Moon Bay,,,CA,US,2020-07-10,,,,,,,Lights for Liberty,anti ICE; protest planned ICE raid,1,protest,0,0,0,0,1,1,https://www.kqed.org/news/11760989/protesters-throughout-bay-area-rally-against-planned-ice-deportation-raids,,,,
Hayward,Army Recruit Center,,CA,US,2020-07-10,,,,,,,general protestors,seek justice for Vanessa Guillen,0,protest,,,,,1,1,https://www.instagram.com/p/CCUqNexBfxp/,,,,
Los Angeles,outside US Rep. Brad Sherman's home,Los Angeles,CA,US,2020-07-10,,,,,,,IfNotNow,against Israeli occupation and annexation,1,protest,0,0,0,0,1,1,https://twitter.com/IfNotNowOrg/status/1281628752930394117,,,,
Madison,University Avenue to Wisconsin State Capitol,,WI,US,2020-07-10,,,,,,,general protesters,To support the black community,0,march,0,0,0,0,1,1,https://wkow.com/2020/07/10/demonstrators-march-from-hilldale-to-state-capitol-after-block-party-to-support-black-community/,,,,
Miami,American Airlines Arena,Miami-Dade,FL,US,2020-07-10,dozens,24,,24,,,general protesters,fighting Mayor Gimenez's decision to close dining halls of all resturants due to Covid 19,0,protest,0,0,0,0,1,1,https://wsvn.com/news/local/miami-dade/restaurant-owners-gather-in-downtown-miami-to-protest-mayor-gimenezs-order-to-close-dining-rooms/,,,,
Oakland,Frank Ogawa Plaza,,CA,US,2020-07-10,,,,,,,Lights for Liberty,anti ICE; protest planned ICE raid,1,protest,0,0,0,0,1,1,https://www.kqed.org/news/11760989/protesters-throughout-bay-area-rally-against-planned-ice-deportation-raids,,,,
Richmond,Richmond High Parking Lot to Civic Center,,CA,US,2020-07-10,,,,,,,general protestors,seek justice for Vanessa Guillen,1,protest,,,,,1,1,https://www.instagram.com/p/CCbhNs-h9Kc/,,,,
Saint Paul,444 Maryland Ave,,MN,US,2020-07-10,,,,,,,"Guns Down, Love Up",against gun violence,0,rally,,,,,1,1,https://unicornriot.ninja/2020/twin-cities-rallies-call-for-end-to-gun-violence/,,,,
San Jose,,,CA,US,2020-07-10,,,,,,,Lights for Liberty,anti ICE; protest planned ICE raid,1,protest,0,0,0,0,1,1,https://www.kqed.org/news/11760989/protesters-throughout-bay-area-rally-against-planned-ice-deportation-raids,,,,
Sheboygan,County courthouse,,WI,US,2020-07-10,,,,,,,general protesters,anti ICE,0,protest,0,0,0,0,1,1,https://www.sheboyganpress.com/picture-gallery/news/local/2020/07/10/people-gathered-near-entrance-sheboygan-county-sheriff-department-protest-ice/5416500002/,,,,
Springfield ,529 S. Grant,,MO,US,2020-07-10,,,,,,,general proteesters,locals do not want to see a new convenient store put in place because they feel it will bring crime.,0,protest,0,0,0,0,1,1,https://www.ky3.com/2020/07/10/west-central-springfield-neighbors-protest-possible-new-convenience-store/,,,,
Virginia Beach,Mount Trashmore,,VA,US,2020-02-10,,,,,,,Educators Unite for Equity and Anti-racism in Schools,,0,rally,0,0,0,0,1,1,https://www.pilotonline.com/news/education/vp-nw-educators-rally-20200710-zn6fm2vlqzdxfoo74q3ki7gx3i-story.html,,,,
Atherton,Las Lomitas Elementary,,CA,US,2020-07-11,,,,,,,Commit to Equity,divest billionaires; invest in communities,1,caravan,,,,,1,1,https://www.instagram.com/p/CCbvBLbhtD-/,,,,
Corpus Christi,Selena statue,,TX,US,2020-07-11,about 40,40,,40,,,general protesters,Pro Trump 2020,2,gathering,0,0,0,0,1,1,https://www.caller.com/picture-gallery/news/local/2020/07/11/trump-supporters-counter-protesters-converge-selena-memorial-statue-corpus-christi/5421720002/,,,,
Itta Bena,,,MS,US,2020-07-11,about 60,60,,60,,,general protesters,BLM,0,protest,,,,,1,1,https://www.mvsu.edu/mvsu-host-2020-mlk-legacy-walk-jan-20,,,,
Jupiter,Carlin Park,,FL,US,2020-07-11,about 200,200,,200,,,general protesters,Back The Blue; in support of police officers,0,march,0,0,0,0,1,1,https://www.wptv.com/news/region-n-palm-beach-county/jupiter/back-the-blue-demonstrators-march-through-jupiter,,,,
Kalam Azoo,Bronson Park ,,MI,US,2020-07-11,,,,,,,Let your voice be heard,Condenming police brutality and systemic racism,0,rally,,,,,1,1,https://wwmt.com/news/local/friends-of-george-floyd-scheduled-to-attend-kalamazoo-protest-on-saturday,,,,
Livermore,City Hall,,CA,US,2020-07-11,,,,,,,general protestors,seek justice for Vanessa Guillen,1,march,,,,,1,1,https://www.instagram.com/p/CCZsIr_B88D/,,,,
Memphis,Outside the Armed Forces Recruiting office,,TN,US,2020-07-11,,,,,,,general protesters,"demanding justice for Vanessa Guillen, a US soldier killed inside an armory",0,march,0,0,0,0,1,1,https://www.commercialappeal.com/picture-gallery/news/2020/07/11/vanessa-guillen-protest/5422596002/,,,,
New York City,Brooklyn; 13th Avenue and 77th Street,,NY,US,2020-07-11,several hundred,200,,200,,,general protesters,To support the NYPD and counter the anti-cop vitriol,0,rally,0,0,0,0,0,0,https://www.amny.com/news/pro-cop-rallies-in-brooklyn-and-queens-attempt-to-counter-anti-police-sentiment/,,,,
Oakland,599 El Embarcadero,,CA,US,2020-07-11,,,,,,,general protestors,seek justice for Vanessa Guillen,1,"protest, march",,,,,1,1,https://www.instagram.com/p/CCaJonRBcvN/,,,,
Omaha,Memorial Park,,NE,US,2020-07-11,,,,,,,general protesters,"Back the Blue, support for police",0,rally,,,,,1,1,https://omaha.com/news/local/back-the-blue-rally-in-omaha-to-show-support-for-law-enforcement/article_2969c8b6-664f-5790-9fbc-58f4ad345f8f.html,,,,
Pease,Portsmouth International Airport ,,NC,US,2020-07-11,,,,,,,Donald J. Trump for President,for President Trump,2,rally,,,,,1,1,https://www.unionleader.com/news/politics/voters/face-mask-requirements-considered-in-portsmouth-ahead-of-trump-rally/article_0675d0cb-4cbd-5cad-b891-2503624f11d8.html,,,,
Philadelphia,"In the Arby's parking lot, march past the La Salle Police Station",,NE,US,2020-07-11,,,,,,,general protesters,"against racism, against police violence",0,counter-rally,0,0,0,0,1,1,https://www.mywebtimes.com/2020/07/07/back-the-blue-rally-and-parade-planned-saturday-in-la-salle-black-lives-matter-plans-march-too/a2hksnv/,,,,
Philadelphia,in front of the La Salle Police Stattion on the east side,,PA,US,2020-07-11,,,,,,,Illinios Grassroots Team Trump 2020,Back the Blue,2,rally,,,,,1,1,https://www.mywebtimes.com/2020/07/07/back-the-blue-rally-and-parade-planned-saturday-in-la-salle-black-lives-matter-plans-march-too/a2hksnv/,,,,
Portsmouth,Portsmouth International Airport at Pease,Rockingham,NH,US,2020-07-11,,,,,,,Donald J. Trump for President,Trump/Pence campaign rally,2,rally,,,,,1,1,https://www.unionleader.com/news/health/coronavirus/sununu-will-greet-trump-but-pass-on-rally/article_1926a686-2a9c-574a-ac10-80311d6e3057.html?block_id=664693,https://www.unionleader.com/news/politics/voters/face-mask-requirements-considered-in-portsmouth-ahead-of-trump-rally/article_0675d0cb-4cbd-5cad-b891-2503624f11d8.html?block_id=897573,,,
Rockport,On the lawn of the First congregation Church of Rockport,,MA,US,2020-07-11,,,,,,,general protesters,BLM,0,protest,,,,,1,1,https://www.gloucestertimes.com/news/local_news/churches-sponsoring-blm-rally-this-weekend/article_b68e4bf3-9eea-55d0-9578-466f14c9f5f0.html,,,,
Sacramento,Cesar Chavez,,CA,US,2020-07-11,,,,,,,general protestors,seek justice for Vanessa Guillen,1,protest,,,,,1,1,https://www.instagram.com/p/CCSxiaDBlfv/,,,,
San Jose,,,CA,US,2020-07-11,,,,,,,roller skaters,"""roll against hate""",0,roll out,,,,,1,1,https://www.instagram.com/p/CCJwQDaBlRc/,,,"Part of ""Worldwide Roll Out Day""",
Stuart,Intersection of Monterey Road and US 1,,FL,US,2020-07-11,more than 100,100,,100,,,general protesters,"""I will not comply"" for the county mask mandate",0,rally,0,0,0,0,1,1,https://www.tcpalm.com/picture-gallery/news/local/martin-county/2020/07/11/martin-county-residents-hold-i-not-comply-protest-against-mandatory-masks/5420752002/,,,,
